股票代码,股票简称,涨跌幅,成交额/万元,最新价/元,昨收价/元,今开价/元,换手率,成交量/手
832003,同信通信,0.8249,0.28,6.88,3.77,6.88,0,4
833355,崇德动漫,0.341,1.4,3.5,2.61,3.5,0.0002,40
430300,辰光医疗,0.1234,6.83,5.1,4.54,4.6,0.0003,140
832178,递家物流,0.1111,0.2,1,0.9,1,0,20
830936,约克动漫,0.1081,1.3,0.82,0.74,0.76,0.0002,160
839720,熊猫雷笋,0.0961,1.03,3.42,3.12,3.44,0.0004,30
832950,益盟股份,0.0867,30.81,4.89,4.5,4.89,0.0002,630
830945,麟龙新材,0.0827,3.86,1.44,1.33,1.36,0.0009,280
839955,美的物业,0.0814,16.55,28.55,26.4,26.57,0.0001,60
834013,利和兴,0.0796,1.06,10.58,9.8,10.58,0,10
430596,新达通,0.0612,2.5,0.52,0.49,0.49,0.0005,500
430358,基美影业,0.0604,3.13,1.93,1.82,2.52,0.0001,150
831343,益通建设,0.0571,0.07,0.74,0.7,0.74,0,10
831177,深冷能源,0.052,0.84,2.83,2.69,2.75,0.0001,30
830827,世优电气,0.0484,0.38,0.65,0.62,0.63,0.0002,60
430632,希奥信息,0.0472,3.08,2.22,2.12,2.18,0.0006,140
430263,ST蓝天,0.0455,0.09,0.23,0.22,0.23,0,40
830933,纳晶科技,0.0415,24.45,15.07,14.47,14.75,0.0002,160
833678,南方阀门,0.0404,0.91,2.32,2.23,2.24,0.0001,40
831378,富耐克,0.0385,37.65,3.78,3.64,3.75,0.0016,990
831928,开泰石化,0.0345,5.56,1.5,1.45,1.47,0.0003,370
430511,远大教科,0.0345,0.6,3,2.9,3,0.0001,20
830821,雪郎生物,0.0343,7.32,1.81,1.75,1.77,0.0005,400
834415,恒拓开源,0.0338,2.33,3.36,3.25,3.25,0.0001,70
830843,沃迪智能,0.0333,3.88,4.35,4.21,4.28,0.0005,90
430540,五龙制动,0.0328,0.06,0.63,0.61,0.63,0.0001,10
430508,中视文化,0.0315,0.52,2.62,2.54,2.59,0.0001,20
430223,亿童文教,0.0306,4.39,11.12,10.79,10.62,0,40
835505,光音网络,0.0303,0.1,1.02,0.99,1.02,0,10
430149,江仪股份,0.0294,0.14,0.7,0.68,0.7,0.0001,20
834898,株百股份,0.0287,8.16,6.8,6.61,6.8,0.0002,120
831009,合锐赛尔,0.0286,1.24,0.36,0.35,0.35,0.0005,350
830779,武汉蓝电,0.0282,3.61,12.03,11.7,12,0.0003,30
430208,优炫软件,0.028,318.34,16.54,16.09,15.92,0.0029,1970
833694,新道科技,0.0279,14.49,4.05,3.94,3.94,0.0002,362
833004,博阅科技,0.0271,0.42,4.17,4.06,4.17,0,10
430496,大正医疗,0.0256,2.53,2,1.95,1.95,0.0006,130
833624,维和药业,0.0256,1.59,2,1.95,1.98,0,80
830850,万企达,0.0253,0.63,0.81,0.79,0.76,0.0001,80
832412,同益物流,0.0249,0.54,5.35,5.22,5.35,0.0001,10
835902,科盾科技,0.0241,13.96,2.97,2.9,2.97,0.0003,470
831663,云叶股份,0.024,0.26,1.28,1.25,1.28,0.0001,20
834683,爹地宝贝,0.0238,1.93,1.29,1.26,1.29,0.0002,150
830931,仁会生物,0.0224,9.08,18.29,17.89,18.1,0,50
831686,正大环保,0.0222,0.92,2.3,2.25,2.3,0.0004,40
430328,北京希电,0.0217,0.19,0.94,0.92,0.94,0.0001,20
832566,梓橦宫,0.021,7.39,6.8,6.66,6.8,0.0003,110
430555,英派瑞,0.0208,0.29,0.98,0.96,0.98,0,30
836052,珠海港昇,0.0206,12.88,0.99,0.97,0.96,0.0003,1320
832149,利尔达,0.02,4.11,1.53,1.5,1.52,0.0001,270
835185,贝特瑞,0.0186,169.04,16.44,16.14,16.4,0.0003,1030
